,Film,Oscar Year,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Content Rating,Directors,Authors,Actors,Film ID
0,Wings,1927,Famous Players-Lasky,Winner,1927,144,Drama&&Romance&&War,7.5,12221,PG-13,William Wellman,Hope Loring&& Louis D. Lighton,Clara Bow&& Charles Buddy Rogers&& Richard Arlen&& Gary Cooper&& Jobyna Ralston&& Charles Rogers&& Arlette Marchal&& El Brendel&& Gunboat Smith&& Richard Tucker&& Julia Swayne Gordon&& Henry B. Walthall&& George Irving&& Hedda Hopper&& Roscoe Karns&& Charles Barton&& Nigel De Brulier&& James Pierce&& Gloria Wellman&& Margery Chapin Wellman&& Carl von Hartmann&& William Wellman&& Frank Tomick&& Dick Grace&& Rod Rogers&& Thomas Carrigan&& Dorothy Coonan Wellman,2becf7d5-a3de-46ab-ae45-abdd6b588067
1,7th Heaven,1927,Fox,Nominee,1927,110,Drama&&Romance,7.7,3439,,,,,19ed3295-a878-4fd2-8e60-5cd7b5f93dad
2,The Racket,1927,The Caddo Company,Nominee,1928,84,Crime&&Drama&&Film-Noir,6.7,1257,,,,,3111c2d8-0908-4093-8ff3-99c89f2f2f08
3,The Broadway Melody,1928,Metro-Goldwyn-Mayer,Winner,1929,100,Drama&&Musical&&Romance,5.7,6890,NR,Harry Beaumont,James Gleason&& Norman Houston&& Sarah Y. Mason,Anita Page&& Bessie Love&& Charles King&& Jed Prouty&& Ken Thomson&& Edward Dillon&& Mary Doran&& J. Emmett Beck&& Marshall Ruth&& J.E. Beck&& Drew Demarest&& Eddie Kane&& Nacio Herb Brown&& Ray Cooke&& James Gleason&& Charles King Bibby&& Angella Mawby&& Claudine Mawby&& Claudette Mawby,de063f3f-2d35-4e1c-8636-6eb4c16bd236
4,Alibi,1928,Feature Productions,Nominee,1929,91,Action&&Crime&&Romance,5.8,765,,,,,609887c2-877c-43a4-b88c-e40e31096a98
5,Hollywood Revue,1928,Metro-Goldwyn-Mayer,Nominee,1929,130,Comedy&&Music,5.7,2004,,,,,689f22d5-a700-4ce1-b9be-65652f32c186
6,In Old Arizona,1928,Fox,Nominee,1928,95,Western,5.6,1019,NR,Irving Cummings&& Raoul Walsh,Tom Barry,Warner Baxter&& Edmund Lowe&& Dorothy Burgess&& J. Farrell MacDonald&& Fred Warren&& Henry Armetta&& Frank Campeau&& Tom Santschi&& Pat Hartigan&& Roy Stewart&& Soledad Jiminez&& Frank Nelson&& Duke Martin&& James Marcus&& Alphonse Ethier&& Helen Lynch&& Ivan Linow&& Joe E. Brown&& Lola Salvi&& Edward Peil Sr.&& John Webb Dillon&& James Bradbury Jr&& Chris-Pin Martin,a0644f19-a136-44c2-ab5d-50978ef19608
7,The Patriot,1928,Paramount Famous Lasky,Nominee,1928,113,Drama&&History&&Thriller,7.4,18,,,,,5d4ef7bd-2f81-47f3-9305-2c8fe140d4e4
8,All Quiet on the Western Front,1929,Universal,Winner,1930,152,Drama&&War,8.1,59214,,,,,281742f9-3b4e-480d-b704-c8c15de6b721
9,The Big House,1929,Cosmopolitan,Nominee,1930,87,Crime&&Drama&&Thriller,7.1,2079,NR,George W. Hill,Frances Marion&& Martin Flavin&& Joseph Farnham&& Lennox Robinson,Wallace Beery&& Robert Montgomery&& Chester Morris&& Karl Dane&& Lewis Stone&& Leila Hyams&& George F. Marion&& J.C. Nugent&& DeWitt Jennings&& Matthew Betz&& Claire McDowell&& Robert E. OConnor&& Robert Emmett OConnor&& Tom Wilson&& Eddie Foyer&& Roscoe Ates&& Fletcher Norton&& Adolph Seidel&& Tom Kennedy&& Eddie Lambert&& Michael Vavitch,297aa285-29d7-4a22-b833-c5632ab3e562
10,Disraeli,1929,Warner Bros.,Nominee,1929,90,Biography&&Drama&&History,6.2,1143,,,,,831f96b0-ebf5-4e09-b47c-d39817b86092
11,The Divorcee,1929,Metro-Goldwyn-Mayer,Nominee,1930,84,Romance&&Drama,6.7,2982,,,,,71614648-8545-4f91-a15e-4991f0eb7f13
12,The Love Parade,1929,Paramount Famous Lasky,Nominee,1929,107,Comedy&&Musical&&Romance,7.0,2163,,,,,0dbbedb5-b8f0-4f0a-9ff7-95e75e43eca7
13,Cimarron,1930,RKO Radio,Winner,1931,123,Drama&&Western,5.9,5851,NR,Wesley Ruggles,Howard Estabrook&& Edna Ferber,Richard Dix&& Irene Dunne&& Estelle Taylor&& Nance ONeil&& William Collier&& William Collier Jr.&& Roscoe Ates&& George E. Stone&& Robert McWade&& Frank Darien&& Edna May Oliver&& Eugene Jackson&& Dolores Brown&& Gloria Vonic&& Otto Hoffman&& William Orlamond&& Frank Beal&& Nancy Dover&& Helen Parrish&& Donald Dillaway&& Junior Johnson&& Douglas Scott&& Reggie Streeter&& Lois Jane Campbell&& Ann Lee&& Tyrone Brereton&& Lillian Lane&& Henry Roquemore&& Nell Craig&& Bob McKenzie&& Bob Kortman&& Clara Hunt&& William Janney&& Dennis OKeefe&& Stanley Fields&& Frederick Burt&& William P. Burt&& Frank OConnor,db2683c0-128e-4b5c-858f-d9f18c2fb9b9
14,East Lynne,1930,Fox,Nominee,1931,102,Drama&&Romance,5.9,188,,,,,ed8c7dfc-97ab-4825-8bbc-74d31292acb4
15,The Front Page,1930,The Caddo Company,Nominee,1931,101,Comedy&&Crime&&Drama,6.8,2741,,,,,c873d149-786b-413f-ba9d-9978040b5436
16,Skippy,1930,Paramount Publix,Nominee,1931,85,Comedy&&Drama&&Family,6.3,772,,,,,0f7347c9-a0a5-430b-8f28-43d703c9c4c8
17,Trader Horn,1930,Metro-Goldwyn-Mayer,Nominee,1931,122,Action&&Adventure&&Drama,6.3,957,,,,,bd308f8f-cb26-43a0-8b5b-f110934927e0
18,Grand Hotel,1931,Metro-Goldwyn-Mayer,Winner,1932,112,Drama&&Romance,7.4,18314,NR,Edmund Goulding,William A. Drake,Greta Garbo&& John Barrymore&& Joan Crawford&& Wallace Beery&& Lewis Stone&& Jean Hersholt&& Robert McWade&& Purnell Pratt&& Ferdinand Gottschalk&& Lionel Barrymore&& Rafaela Ottiano&& Morgan Wallace&& Tully Marshall&& Murray Kinnell&& Edwin Maxwell&& Mary Carlisle&& John Davidson&& Sam McDaniel&& Rolfe Sedan&& Herbert Evans&& Lee Phelps&& Frank Conroy&& Bodil Rosing,be69f946-6adc-47e4-8491-79d6c033f59d
19,Arrowsmith,1931,Samuel Goldwyn Productions,Nominee,1931,108,Drama,6.2,1663,,,,,91572891-4303-45c2-967a-601b9fa8fe70
20,Bad Girl,1931,Fox,Nominee,1931,90,Drama&&Romance,6.5,1248,,,,,e97f865a-8711-465a-88da-423b67c08738
21,The Champ,1931,Metro-Goldwyn-Mayer,Nominee,1931,86,Drama&&Sport,7.3,3003,NR,King Vidor,Frances Marion&& Leonard Praskins&& Wanda Tuchock,Wallace Beery&& Jackie Cooper&& Irene Rich&& Roscoe Ates&& Edward S. Brophy&& Hale Hamilton&& Jesse Scott&& Marcia Mae Jones&& Tiffany Clark&& Rhonda Jo Petty&& Lee Phelps&& Frank S. Hagney,c8994348-093e-4e22-8ffe-6ad3332a2bab
22,Five Star Final,1931,First National,Nominee,1931,89,Crime&&Drama,7.3,1944,,,,,9236968a-9ea9-473b-abe2-28ec8c141a8e
23,One Hour with You,1931,Paramount Publix,Nominee,1932,78,Comedy&&Musical&&Romance,7.2,2317,,,,,2299e2df-e18d-41d7-b5b9-ec0041db956d
24,Shanghai Express,1931,Paramount Publix,Nominee,1932,82,Adventure&&Drama&&Romance,7.3,8325,,,,,a6f9841d-533f-4360-9c6a-dbb3d26c8dd6
25,The Smiling Lieutenant,1931,Paramount Publix,Nominee,1931,93,Comedy&&Romance&&Musical,7.2,3540,,,,,cbe0150a-db25-4d46-9d21-183802460465
26,Cavalcade,1932,Fox,Winner,1933,112,Drama&&Romance&&War,5.9,4961,NR,Frank Lloyd,Reginald Berkeley,Diana Wynyard&& Clive Brook&& Ursula Jeans&& Herbert Mundin&& Una OConnor&& Beryl Mercer&& Irene Browne&& Merle Tottenham&& Frank Lawton&& John Warburton&& Margaret Lindsay&& Billy Bevan&& Dick Henderson&& Douglas Scott&& Sheila MacGill&& Bonita Granville&& Harry Allen&& Desmond Roberts&& Lionel Belmore&& Frank Atkinson&& Adele Crane&& Ann Shaw&& Howard Davies&& Will Stanton&& Stuart Hall&& Betty Grable&& Mary Forbes&& Lawrence Grant&& Winter Hall&& Claude King&& Tempe Piggott&& Des Roberts&& John Rogers&& C. Montague Shaw&& Pat Somerset&& David Torrence&& Douglas Walton,e71a2212-92c3-4212-9eb2-d468f10c768e
27,42nd Street,1932,Warner Bros.,Nominee,1933,89,Comedy&&Drama&&Musical,7.4,11342,NR,Lloyd Bacon,Rian James&& James Seymour&& Whitney Bolton,Warner Baxter&& Bebe Daniels&& George Brent&& Ruby Keeler&& Dick Powell&& Guy Kibbee&& Una Merkel&& Ginger Rogers&& George E. Stone&& Harry Akst&& Harry Warren&& Al Dubin&& Robert McWade&& Ned Sparks&& Eddie Nugent&& Allen Jenkins&& Clarence Nordstrom&& Henry B. Walthall&& Albert Akst&& Toby Wing&& Pat Wing&& Tom Kennedy&& Busby Berkeley&& Wallis Clark&& Jack LaRue&& Alexis Dubin&& Louise Beavers&& Dave OBrien&& Patricia Ellis&& George Irving&& Charles Lane&& Rolfe Sedan&& Harry Seymour&& Gertrude Keeler&& Helen Keeler&& Joan Barclay&& Ann Hovey&& Renee Whitney&& Dorothy Coonan Wellman&& Barbara Rogers&& June Glory&& Jayne Shadduck&& Milton Kibbee&& Adele Lacey&& Loretta Andrews&& Anne Hovey&& Margaret La Marr&& Mary Jane Halsey&& Ruth Eddings&& Edna Callaghan&& Patricia Farnum&& Maxine Cantway&& Lynn Browning&& Donna Mae Roberts&& Lorena Layson&& Alice Jans&& Eve Marcy&& Dorothy White&& Evelyn Joice&& Agnes Ray&& Grace Tobin&& Kermit Maynard&& Lyle Talbot,1ad59370-1ed5-4d3a-a8c4-8571f95da168
28,A Farewell to Arms,1932,Paramount,Nominee,1932,80,Drama&&Romance&&War,6.5,5567,NR,Frank Borzage,Frank Borzage&& Ernest Hemingway&& Benjamin Glazer&& Oliver H.P. Garrett,Gary Cooper&& Helen Hayes&& Adolphe Menjou&& Mary Philips&& Jack LaRue&& Blanche Frederici&& Henry Armetta&& George Humbert&& Fred Malatesta&& Mary Forbes&& Tom Ricketts&& Robert Cauterio&& Gilbert Emery&& Peggy Cunningham&& Agostino Borgato&& Paul Porcasi&& Alice Adair&& Inez Palange&& Doris Lloyd&& Herman Bing,39ab1f95-f400-4cdc-be82-425015486234
29,I Am a Fugitive from a Chain Gang,1932,Warner Bros.,Nominee,1932,92,Crime&&Drama&&Film-Noir,8.2,12604,,,,,e36dda02-b84a-4337-ad66-cfa30a5df599
30,Lady for a Day,1932,Columbia,Nominee,1933,96,Comedy&&Drama,7.4,3971,,,,,7dda746d-5569-4711-afa6-9b76b5e7fa4f
31,Little Women,1932,RKO Radio,Nominee,1933,115,Drama&&Family&&Romance,7.2,6778,NR,George Cukor,Sarah Y. Mason&& Victor Heerman,Katharine Hepburn&& Joan Bennett&& Frances Dee&& Jean Parker&& Spring Byington&& Paul Lukas&& Edna May Oliver&& Henry Stephenson&& Douglass Montgomery&& John Davis Lodge&& Samuel S. Hinds&& John Lodge&& Mabel Colcord&& Marion Ballou&& Nydia Westman&& June Filmer&& Harry Beresford&& Marina Schubert&& Dorothy Gray&& Olin Howland,f6fa2e25-588d-414f-a59d-67b9eb033270
