Film Studio/Producer(s),Film ID
Famous Players-Lasky,2becf7d5-a3de-46ab-ae45-abdd6b588067
Fox,19ed3295-a878-4fd2-8e60-5cd7b5f93dad
The Caddo Company,3111c2d8-0908-4093-8ff3-99c89f2f2f08
Metro-Goldwyn-Mayer,de063f3f-2d35-4e1c-8636-6eb4c16bd236
Feature Productions,609887c2-877c-43a4-b88c-e40e31096a98
Metro-Goldwyn-Mayer,689f22d5-a700-4ce1-b9be-65652f32c186
Fox,a0644f19-a136-44c2-ab5d-50978ef19608
Paramount Famous Lasky,5d4ef7bd-2f81-47f3-9305-2c8fe140d4e4
Universal,281742f9-3b4e-480d-b704-c8c15de6b721
Cosmopolitan,297aa285-29d7-4a22-b833-c5632ab3e562
Warner Bros.,831f96b0-ebf5-4e09-b47c-d39817b86092
Metro-Goldwyn-Mayer,71614648-8545-4f91-a15e-4991f0eb7f13
Paramount Famous Lasky,0dbbedb5-b8f0-4f0a-9ff7-95e75e43eca7
RKO Radio,db2683c0-128e-4b5c-858f-d9f18c2fb9b9
Fox,ed8c7dfc-97ab-4825-8bbc-74d31292acb4
The Caddo Company,c873d149-786b-413f-ba9d-9978040b5436
Paramount Publix,0f7347c9-a0a5-430b-8f28-43d703c9c4c8
Metro-Goldwyn-Mayer,bd308f8f-cb26-43a0-8b5b-f110934927e0
Metro-Goldwyn-Mayer,be69f946-6adc-47e4-8491-79d6c033f59d
Samuel Goldwyn Productions,91572891-4303-45c2-967a-601b9fa8fe70
Fox,e97f865a-8711-465a-88da-423b67c08738
Metro-Goldwyn-Mayer,c8994348-093e-4e22-8ffe-6ad3332a2bab
First National,9236968a-9ea9-473b-abe2-28ec8c141a8e
Paramount Publix,2299e2df-e18d-41d7-b5b9-ec0041db956d
Paramount Publix,a6f9841d-533f-4360-9c6a-dbb3d26c8dd6
Paramount Publix,cbe0150a-db25-4d46-9d21-183802460465
Fox,e71a2212-92c3-4212-9eb2-d468f10c768e
Warner Bros.,1ad59370-1ed5-4d3a-a8c4-8571f95da168
Paramount,39ab1f95-f400-4cdc-be82-425015486234
Warner Bros.,e36dda02-b84a-4337-ad66-cfa30a5df599
Columbia,7dda746d-5569-4711-afa6-9b76b5e7fa4f
RKO Radio,f6fa2e25-588d-414f-a59d-67b9eb033270
London Films,625a769c-475b-4c27-8c25-01905fe4f583
Paramount,af3be976-1cee-4383-a6f1-50545a634ab5
Metro-Goldwyn-Mayer,cd94faa5-73a9-49d2-82ab-4fcafbde6dc8
Fox,01707372-d948-43ef-91ed-f57945a48ed4
Columbia,88fe2d2b-3e07-4c9f-9978-388b4f7b0c93
Metro-Goldwyn-Mayer,d66f2e6e-b9a6-4f20-972b-315f3998b5a4
Paramount,30a8cacf-0902-4d8c-9c02-934c09e284a6
First National,97e60fc4-5f01-412e-b350-075f1c78939f
RKO Radio,4cff46f4-7853-40a0-9b52-39643b2d257a
Warner Bros.,becfca3d-e679-46b3-a592-a13fcef61f5a
20th Century,a1f33617-6fce-4106-bcd4-4e5b540175e2
Universal,ec7b23f4-2394-4739-adaa-6dbeb10b0b28
Columbia,ff621866-7c96-4eb3-855c-0c10be8340ce
Metro-Goldwyn-Mayer,3ae65a34-8ae8-42c5-9404-06faa25b3cb0
Metro-Goldwyn-Mayer,3ca53584-968b-4ef8-9a29-408223864bc9
Jesse L. Lasky (production company),8d241c99-a9e3-4371-8011-949b36ca7f47
Metro-Goldwyn-Mayer,3cea2927-f5a4-4ffb-9e17-88566f2cd111
RKO Radio,73d8b0a6-dc25-48c0-aa51-e73990fc02d2
Metro-Goldwyn-Mayer,11f40e01-e1d5-4f74-ae72-230823543e37
Cosmopolitan,106183d2-50d3-4d50-8ead-6ed52a93f7c6
Metro-Goldwyn-Mayer,303fd7b4-de82-4d82-a79f-857b45dda877
RKO Radio,98c15d3b-d3c6-4af3-b717-12d446154f5d
Paramount,f6953c25-25ea-41d3-807c-ef4fdfed54cd
Warner Bros.,dee5c6d4-6438-4110-b72a-a49322b52070
20th Century,521b9bf2-426b-49a1-aeb3-d228db8a970c
Metro-Goldwyn-Mayer,adde70ec-0094-4ce0-91ff-6b9ab12387fd
Paramount,f4c74985-f2ec-45db-b8aa-444087ad34d4
RKO Radio,c7ea701f-f0be-4108-b734-14412b70d3b2
Metro-Goldwyn-Mayer,321ede7b-fac6-4259-b070-b403b3404042
Warner Bros.,339e98eb-684b-4a4e-a67c-9a3ffb5f0de9
Samuel Goldwyn Productions,693ad8e8-f9cf-4c4d-b332-18026348de67
Metro-Goldwyn-Mayer,c41fc4b0-1b68-49d4-a45e-02699fbb9ec1
Columbia,9a189d11-e4f6-4b2b-9762-702806ce4a85
Metro-Goldwyn-Mayer,1b04f1e8-f46b-403f-a5df-89ebebb52e4a
Metro-Goldwyn-Mayer,d9c9ba4b-4fcd-4253-ba8b-8a80ea852fb9
Cosmopolitan,40acf99f-bc62-45ee-a766-0297530113d1
Metro-Goldwyn-Mayer,da9c58f7-84b6-4d02-a66a-b5b19d3eea7f
Universal,8866b966-f0a8-4881-88f6-ac7c24e9e1e5
Warner Bros.,0538990c-5cfe-4b21-b733-386740e5cbd6
Columbia,fe542b19-4de9-465d-8b97-19ff88872e56
Metro-Goldwyn-Mayer,bb80b913-a013-4ff1-8c07-7e0ff28c4557
Samuel Goldwyn Productions,5df24f1d-57f8-4d1d-a15d-df07ea5715b1
Metro-Goldwyn-Mayer,6d9e1900-6589-43ae-b80f-863d03cbbdaa
20th Century-Fox,1957aeb5-48c9-423c-8a3d-1f918ba388d2
Columbia,20f2a079-71bd-4c1c-aff7-46237962b8cb
Universal,c3d7ac23-64c7-48e5-8aba-c2af3f5b23eb
RKO Radio,5a739df8-434b-46e9-82c0-9b8f71c9c946
Selznick International Pictures,ea80da77-0642-48c5-a2eb-1d03fb856d2f
Columbia,7530ae81-5165-4431-8a05-5e3a75811021
Warner Bros.-First National,bec32b70-fccd-4f50-b68d-88cca2d2fc7b
20th Century-Fox,a380741f-f2ba-415d-a5b5-f81f826f93a7
Metro-Goldwyn-Mayer,ebce9bc4-4abc-4b48-929f-30a29b1edd7d
Metro-Goldwyn-Mayer,84a31ac1-04d7-4810-af0a-b639d529f159
Warner Bros.-First National,bf7bd76e-f5f7-4a5a-a24e-6ce226a605e9
Realization DArt Cinematographique,121b4de3-2e42-45eb-a8cc-f4496df79d8a
Warner Bros.,70ed2948-fca0-42ab-8421-51bc760a62d4
Metro-Goldwyn-Mayer,31a7d601-261c-478d-969c-5f64d33d531d
Metro-Goldwyn-Mayer,ce4b4264-affe-4e48-9d0b-49b6532449b2
Selznick International Pictures,bcad3809-e6ad-471a-8e05-1035efaaaaf4
Warner Bros.-First National,ae377884-4d60-47f5-893a-1d2577eb6405
Metro-Goldwyn-Mayer,72360bec-f930-4772-beac-21bee3e92055
RKO Radio,c04357fe-39cc-414f-b871-94be98bc38ed
Columbia,38d9b2bf-23d2-4827-8bfa-336ba0dbf1c3
Metro-Goldwyn-Mayer,62d27610-e080-4569-9260-c7883e13adbc
Hal Roach (production company),45488a28-fbf5-4264-944a-d0daa7030486
Walter Wanger (production company),48e19755-7fc6-48d3-af96-7024e9f688ef
Metro-Goldwyn-Mayer,736cefc8-1a8f-4249-943d-7dce78308ddf
Samuel Goldwyn Productions,961860de-899b-4c9a-85ba-d5fb0359cbfb
Selznick International Pictures,e39af7f6-07a0-44e2-ad07-3924634c0aea
Warner Bros.,83619bb1-3c1d-4e3b-bf20-98f9dca469f3
Walter Wanger (production company),d0f8a19e-333c-4dde-aedc-5a15d1df26e0
20th Century-Fox,1709969c-4b54-4c2b-a3ef-384c9a800499
Charles Chaplin Productions,0abfd0f9-e6e1-4472-8b47-c36c4d34b76e
RKO Radio,31371633-b7be-4548-a770-c594d52adc1b
Warner Bros.,a70ff35f-ffc2-4081-8af5-e21d50f21adb
Argosy-Wanger,a7c8d95f-898d-40c0-9880-be1174375e08
Sol Lesser (production company),094d9387-875a-4973-b6e4-fed1231ae253
Metro-Goldwyn-Mayer,c75809c1-8391-4a67-924b-4a5dfcfdaef0
20th Century-Fox,86576fae-02a5-4f78-afe5-908908310def
Metro-Goldwyn-Mayer,75142b0a-bc65-40aa-82b6-716395a2946d
Mercury,765e5aea-e5af-4695-9be2-f3ef765b8012
Columbia,0da3472b-30f2-499d-9418-6af8d76d2028
Paramount,0c375c45-09a9-464e-bc4e-15a1df41ba11
Samuel Goldwyn Productions,4fd7b78f-8984-4220-a075-b30022fde49f
Warner Bros.,86d1ae85-1bda-4459-912d-d21a430496b9
Warner Bros.,ea25fe87-1c55-4e28-bd3f-4bef5da7419e
Warner Bros.,4c463067-6325-43eb-8f11-e17695722ca9
RKO Radio,d7422da7-0391-4b9e-a1e6-99a169b7d9fe
Metro-Goldwyn-Mayer,697603ab-2be4-4a8c-88be-b96bdfe299cf
Ortus,6f05b0c0-cc9e-4f2f-b208-0aec3b17c727
Warner Bros.,c19bbf1c-15de-4eba-9ae4-c491063a83fe
Mercury,36febb3c-b95a-4830-a4a4-8e2ec057cbd2
20th Century-Fox,91e29b8b-715b-4755-a0f1-ee5098a0cdf3
Samuel Goldwyn Productions,13aebc37-5ad5-45fc-888f-8acedb312621
Metro-Goldwyn-Mayer,9a4e6934-a118-4962-9a79-0bf4950f1b65
Columbia,d960aa81-38e9-466c-8b15-96ba859fcc80
Paramount,c7d20743-838e-46e9-bed1-449681a16609
Warner Bros.,06f78a82-6916-485b-9753-a1ba18a4a938
Warner Bros.,5450540a-1dec-4572-8752-75c5ae55cf7d
Paramount,f8981628-2933-42ec-a21b-e9c31164979b
20th Century-Fox,7694bb35-bd99-4b9f-8616-e3c1c0462484
Metro-Goldwyn-Mayer,e85d6ec9-cb6f-4daa-bf6d-876b7104b675
Two Cities Films,af643708-8af7-43c3-9aeb-26be972a6288
Metro-Goldwyn-Mayer,a9dc092c-409a-4d55-a169-b514b7784136
Columbia,c8d03653-289f-422c-a385-fb2097fd2996
20th Century-Fox,5577eaba-960d-452f-a3f3-6a1bc66070a0
20th Century-Fox,7b8c91d7-b87f-4871-ad87-dec95f2fd0da
Warner Bros.,1a4e8a94-150d-484a-8b25-959ab5dfc42e
Paramount,e8c09304-ad53-4c4d-9d08-72b059d37892
Paramount,c08eaccc-190e-4e88-bb31-e2a9ddf6f09c
Metro-Goldwyn-Mayer,bd1cbfe3-80d9-4c20-81ee-1fcccdd3b2a4
Selznick International Pictures,8eee9309-2368-44a0-b135-e1d857b03f3a
20th Century-Fox,2591f82c-c979-47ab-9974-750661ef6a59
Paramount,0b7a2648-33c4-4eed-b40d-86b581f69c9c
Metro-Goldwyn-Mayer,a9713f3b-472e-4338-bd59-6021b65a9c75
Rainbow Productions,f155c808-5944-457e-a02a-a21df320706a
Warner Bros.,6f3cf796-6ae0-4219-84c8-211dd3ec205d
Selznick International Pictures,e285e8cf-d49c-48b8-b75f-20dcb3d82804
Samuel Goldwyn Productions,0d07ce49-6844-4370-b4d7-10d9f02565ba
Two Cities Films,8be23af2-d367-4e60-aae1-77505db9de19
Liberty Films,d17331c1-4d16-4d92-8718-629629129d7c
20th Century-Fox,3328143b-a27d-4cfc-b6d8-44086e698a9e
Metro-Goldwyn-Mayer,c7fac549-3837-42a5-b768-9312e6104ee9
20th Century-Fox,2de2c926-1509-4aca-bb49-6a2514c7ec7a
Samuel Goldwyn Productions,785f3b90-b888-4e90-9c85-5f7029845027
RKO Radio,17e1d9b6-6666-4a83-a898-c1a2472f3cf2
J. Arthur Rank-Cineguild,17b7b449-345b-4d36-8d67-65597db9d27f
20th Century-Fox,ef10f104-3bb4-4576-be62-49bd89ffa349
J. Arthur Rank-Two Cities Films,443109e2-d3c6-4b1d-9bec-3c732801d861
Warner Bros.,45588422-6266-430e-b2e1-292fbf12e238
J. Arthur Rank-Archers,75ddd507-9137-452e-b08c-89cbb2297bd8
20th Century-Fox,894290ac-2b55-458e-b4b6-c5978fc487c7
Warner Bros.,76320732-9fe8-40c8-9532-bf16a4b45483
Columbia,80c1f8b9-36f0-4648-9103-1a27b4b15d6f
Metro-Goldwyn-Mayer,8e1fd126-bcd3-4f20-bfa7-54bcc056dfe8
Paramount,27cd281b-e5bd-4b05-9634-8557891a9593
20th Century-Fox,2c905a08-03f0-45e6-91e7-a9c9bc17826d
20th Century-Fox,1a47efdd-746d-4c28-bd9f-15d2553c73ae
20th Century-Fox,95920d24-3ce7-41e7-bf13-35f70fa38da1
Columbia,7e8fd405-833d-4bba-821c-88f3601017a2
Metro-Goldwyn-Mayer,f83ea7fe-8013-4f13-bda4-4458c4d177e1
Metro-Goldwyn-Mayer,da749acb-0277-4941-93b2-54dda27d75fb
Paramount,ed6d6f9d-2b4e-495e-bdfc-4b3c4f96ee5a
Arthur Freed,11fe2b71-cbc2-446f-a3d6-2c5b75ca4dd3
Anatole Litvak and Frank McCarthy,1d36e03f-db5b-44e6-8cba-9c914bcb72f0
George Stevens,4ca1818a-9d22-4a5e-884e-4f892a2232ed
Sam Zimbalist,493704e4-edf5-493c-ba97-ff530fe7332f
Charles K. Feldman,2c848e08-0362-4305-b9c6-b52b3210b998
Cecil B. DeMille,cc4a95ef-5ae4-4c0a-8ccb-086764ef8c36
Stanley Kramer,839c34d7-1b03-447d-b883-d03e35bd12c5
Pandro S. Berman,0726de1a-97f7-4d02-8ebf-ede53d66faf7
John Huston John Woolf and James Woolf,ba1a50b8-ecb8-4626-b122-a29205c20a4f
John Ford and Merian C. Cooper,6e88383e-fac9-4946-a4fc-f4d0a9647c07
Buddy Adler,4053e1d8-c821-4247-a020-baca7eaef18d
John Houseman,c809744c-13bb-4ded-b500-91b644ee825f
Frank Ross,2ee37736-fd84-4b57-a9c9-df11a9e70329
William Wyler,b732f88f-79d4-43c3-b355-02f7898d908f
George Stevens,32b9e439-a62e-4fbc-b103-dd8cbbd34f5e
Sam Spiegel,6e80353a-6ace-497d-9c6c-1756457a6dc8
Stanley Kramer,6eae2bc6-40f4-44f8-85c6-a11f363726cf
William Perlberg,27b1c21b-9ec8-4270-84a1-ff91400e2b2e
Jack Cummings,96a4a3d6-e8dd-40cb-a54c-b5dbcbfc5e32
Sol C. Siegel,2ebbefba-fb33-47ed-97bb-2b22c85606db
Harold Hecht,0e335b5a-ed13-4c51-8028-d489d57a1e75
Buddy Adler,2bd69ac3-6b2e-4132-b1b0-0f073a1c75e9
Leland Hayward,eab1a500-de95-4cf8-a44e-314760de571d
Fred Kohlmar,d9576b2a-0b16-4c95-b574-4ea6cd782260
Hal B. Wallis,a74c209a-4f5f-4f90-aaec-6c77b62b3ed3
Michael Todd,a0ddcb59-a173-4ffb-9139-3a1a71d006aa
William Wyler,bde43e69-9c9b-4b7b-a438-f5aa9dcb8808
George Stevens and Henry Ginsberg,c77c1d53-c9ea-400d-ad82-7e740e7f1e29
Charles Brackett,05914cd6-60ae-4836-bdc7-1e6ec4b1eb8c
Cecil B. DeMille,7f920258-daa7-4df8-84f1-2f41ddb99b9d
Sam Spiegel,fc627090-b4c0-418b-8437-94b0f41d9bba
Henry Fonda and Reginald Rose,4b3c9249-b991-4a5a-b35d-bf98e217e2bf
Jerry Wald,548cd53c-e455-4fe0-b10b-64d59cadc17b
William Goetz,76b1d406-1398-4917-9007-23484d207a8d
Arthur Hornblow Jr.,db810dc3-c8f5-40be-b525-a77898135ad4
Arthur Freed,7d5a1db5-c60e-458c-9f9e-4ce599f4118a
Jack L. Warner,ed3ebe9b-ba2b-4a93-bd71-369b04396fab
Lawrence Weingarten,466621aa-287c-4316-9083-74a5fc72a4f6
Stanley Kramer,45435847-81e6-44f8-891d-59ac0e5bb985
Harold Hecht,a19cbb5a-db41-4119-a8ed-c805948873a8
Sam Zimbalist,0bb257f6-e9ee-4afd-b8f0-69c2ea1167ae
Otto Preminger,326c4a14-173e-40e2-a943-bc8e7f61128c
George Stevens,77f80298-293e-4bd3-a071-394c8136600d
Henry Blanke,acc60dd6-f542-493e-9900-2174bd8cf1b2
John Woolf and James Woolf,53007b62-3d97-4d58-b381-10747520cb22
Billy Wilder,bec485c9-8736-4ec5-8275-478478dc1d20
John Wayne,547529c6-55ca-4007-be9d-d064b271c15e
Bernard Smith,06cb872f-b533-437b-a0ce-89cd08b8c6f6
Jerry Wald,2f559ba8-3cce-4cdd-a404-fa99f01eb249
Fred Zinnemann,f7881b5a-0ca8-44df-aef1-7428f3a703e0
Robert Wise,ef8f5e5d-f603-44ab-b358-091f26b0da7b
Joshua Logan,c25b2d36-9391-4279-8a8f-edc0e68d3a41
Carl Foreman,ea4834bd-a58a-44a0-b796-7e54e3422e90
Robert Rossen,0d5ee029-1350-4625-b906-afc878129ecf
Stanley Kramer,4de772d6-c839-490e-9e4a-365b48c6570a
Sam Spiegel,77641adf-a5dc-4475-9e3b-dd61c4e32951
Darryl F. Zanuck,4f1a7a69-6434-477c-9124-2341c633a8a8
Morton DaCosta,1a4cbf83-c2d2-4bad-91c5-83aaac03ed16
Aaron Rosenberg,8d5317bd-df12-4f24-b34d-e5047ef4665e
Alan J. Pakula,63ebac97-3aa2-4dd3-8d53-3e8476873668
Tony Richardson,e96a144c-3f01-4f2f-a3ee-fc54bcd81df9
Elia Kazan,7b22a71b-6b22-4b6c-a7ee-4f3a9bc6a3f6
Walter Wanger,47a31f2d-67c9-4aa1-a336-6f30e4dc6c57
Bernard Smith,418250a9-d63e-41d1-8e48-8a5190ab57f1
Ralph Nelson,cec49f67-0474-42fe-bb36-d75224995e60
Jack L. Warner,c3a074a7-658b-4a79-a049-eb30cdf3de0e
Hal B. Wallis,5a35a08e-eafc-46f1-add2-8413867d1bcb
Stanley Kubrick,cd6d6c18-61aa-4e9a-bdec-0dcb2d749dde
Walt Disney and Bill Walsh,ef2ab197-e570-481a-8a5c-ecc33bbc59ce
Michael Cacoyannis,91ff3fae-0b8f-495f-bcad-355504e26ba5
Robert Wise,457971a1-ae06-42ce-9ddd-17e9be9b32af
Joseph Janni,39e6d744-7f92-4cbf-9300-55a43bf7a5e3
Carlo Ponti,cb1ae708-873b-4b2e-b0ea-57967782d566
Stanley Kramer,85e8bfd9-99a2-40a6-b331-a333fa851c36
Fred Coe,18894f37-9638-447a-970c-11024860541f
Fred Zinnemann,d9e00e8e-315d-4507-9eb2-bf89bde7779a
Lewis Gilbert,cb3bba47-5662-4b6d-b6fe-fab2b97102ac
Norman Jewison,c73f5f10-891e-4204-b848-e5a9e422ad9f
Robert Wise,dc277c9f-c5fd-46fa-8b70-25dadbc444cb
Ernest Lehman,34a129cf-eb80-461b-a6da-c8f46df67c60
Walter Mirisch,467a1595-1c69-442d-ab43-92f68b932ddc
Warren Beatty,88b6470e-a145-47f2-b74a-3ba3266f2e4f
Arthur P. Jacobs,0d5b2439-d817-4a04-ada3-446556084561
Lawrence Turman,da0bc2bf-7a48-44b7-be73-8e61624bc7b1
Stanley Kramer,2c26535d-eada-47be-8af1-75bbe5eeed78
John Woolf,bc77f25e-71fa-4563-be5d-47648fe69070
Ray Stark,83010621-a7cc-4e5e-b770-7bdb7c643cd2
Martin Poll,15a28039-7a34-4e2d-89ea-ff8d61b669ff
Paul Newman,55fcf55d-06e6-4b54-8133-aca96742158c
Anthony Havelock-Allan and John Brabourne,b89ed64f-55e8-4c3e-80ee-e7ba748531ab
Jerome Hellman,bc91f715-a16b-4de7-8aa5-7b0b2f875bdb
Hal B. Wallis,56358a21-e826-4674-a4b5-aefbf11395a0
John Foreman,174d890a-717f-4f2d-bff6-03b91ede8466
Ernest Lehman,204c5d1d-ac8b-41fe-ba95-77c323121c43
Jacques Perrin and Ahmed Rachedi,65fd73b8-d854-42fb-97eb-2ed7866c831d
Frank McCarthy,542831fe-9ee4-4997-badb-98cabd43c3d2
Ross Hunter,5bbfb550-a96e-49a4-90fc-a8351617e709
Bob Rafelson and Richard Wechsler,0d283411-d75d-413e-b31c-ece555cf661f
Howard G. Minsky,0a7e8fe6-3614-4599-bdf3-1bc14f161ffa
Ingo Preminger,f65882a5-46f8-42f7-9302-bfc76fd0989d
Philip DAntoni,02e62c41-fdb4-401f-a2a5-615fec952f9e
Stanley Kubrick,b19db2e9-f854-4631-99b6-9c4ab7d08077
Norman Jewison,adaf460e-b6f6-4acf-9419-b396d719a400
Stephen J. Friedman,c4c3d7c5-c66c-4148-b205-812f47fc9c4f
Sam Spiegel,85261a3e-21e0-4862-9850-5cef43307bc0
Albert S. Ruddy,fa8d4d3c-41e1-488f-a30d-715a0ff09764
Cy Feuer,e353fab3-80df-4ebd-afcd-93f70b158537
John Boorman,5ab0fdff-d86a-4320-822c-33d1184f43e6
Bengt Forslund,ec2ca519-2209-40f8-b5e0-d1776bf1b140
Robert B. Radnitz,6e7ed550-a733-4030-a8e4-2aaf59a245dd
Tony Bill Michael Phillips and Julia Phillips,bb6ef738-b9e4-49a2-b8fb-ab2429add488
Francis Ford Coppola and Gary Kurtz,a2b35269-b14a-4126-a4bc-0530348b2457
Ingmar Bergman,1f294125-03d2-4cca-b9b0-b767bdb0b816
William Peter Blatty,0cb63313-b7e2-49db-8bf9-17e72d61183e
Melvin Frank,db331a83-f319-4566-99a6-3c1d77937cf9
Francis Ford Coppola Gray Frederickson and Fred Roos,a29ebc75-3d9a-441f-966c-7b53a3478a71
Robert Evans,fc910341-bca7-4172-abff-116ca3e6d80e
Francis Ford Coppola,51f09950-d054-4bed-b422-cde53c0ad5d3
Marvin Worth,4a3d4e06-2109-4585-a4c1-53f25ae82ea3
Irwin Allen,7fb8aa38-464b-4846-85e0-e7e6cb0caaf8
Michael Douglas and Saul Zaentz,93bd4453-5aa2-48b8-b2a6-c3f564fda13c
Stanley Kubrick,96bd883e-8ef5-4ad1-999f-2892326d1548
Martin Bregman and Martin Elfand,25ec6295-c9bc-4535-8b76-c4c4b6932b27
Richard D. Zanuck and David Brown,49107a35-a34e-44c0-8324-843c7535719f
Robert Altman,2db901c8-7162-466f-a4d6-22aba1a726bf
Irwin Winkler and Robert Chartoff,9cc026b8-3a23-4db9-a703-c2353be1ee4d
Walter Coblenz,048b181b-f1c1-4e3e-bb57-008c90e68339
Robert F. Blumofe and Harold Leventhal,7ac51fff-7c08-48bb-8711-09a28224a21a
Howard Gottfried,09e7097f-0026-4147-9f4d-a17b04a57690
Michael Phillips and Julia Phillips,5fca34f6-fdf8-4e6f-a845-ba51eed1fc2e
Charles H. Joffe,50965bec-a059-4941-954a-07fddfa5a5e5
Ray Stark,e437045d-d8e6-466b-98f5-bf81d91883eb
Richard Roth,c982281e-2dfa-4de4-afb2-9bb7ad5300dc
Gary Kurtz,b03dfef6-a70b-43ef-bdf3-011c42307248
Herbert Ross and Arthur Laurents,b43cfa51-76a9-4f3a-a5f2-baacb12be7b4
Barry Spikings Michael Deeley Michael Cimino and John Peverall,dcfb372f-430d-4998-a7f2-f23a78863ed4
Jerome Hellman,1354afbf-5844-458c-a3c6-21c3119083c6
Warren Beatty,8f0dd2a2-3322-4372-af45-cf1940585d86
Alan Marshall and David Puttnam,01c95862-5a79-4087-9ae7-6f179d49ecd6
Paul Mazursky and Tony Ray,c5d97b57-e71f-40a9-a696-baaefe835b93
Stanley R. Jaffe,40ddb2ef-ead7-4129-9a4a-005bcb9385db
Robert Alan Aurthur,fcf2c847-059b-4750-b7a2-f1d150fadc63
Francis Ford Coppola Fred Roos Gray Frederickson and Tom Sternberg,7d84dcde-add0-4d6e-a416-5f418b0ee4a5
Peter Yates,73d83b0b-79ba-47da-b7f2-ef0c2f78860b
Tamara Asseyev and Alex Rose,42fd0a2b-55a7-4131-89a9-9de4d028d022
Ronald L. Schwary,c7fdd5fc-4ab9-4195-8462-51c65f7cddd0
Bernard Schwartz,e30d2afc-0324-4610-8579-2dc703156dd3
Jonathan Sanger,0887d632-30bd-4e84-9d29-6bbfdd5984b8
Irwin Winkler and Robert Chartoff,06fac879-3ee3-4c83-b676-16c49688b302
Claude Berri and Timothy Burrill,4e06a3f7-c35d-40a9-9a49-45738b7c505b
David Puttnam,dd41a9d6-8ccd-493a-8208-c515dd3053c1
Denis Héroux,554cc033-c312-486f-82d5-f751453452de
Bruce Gilbert,f8b74df8-6eda-4e06-80f3-1222e3caa4a3
Frank Marshall,f70968f4-9afa-42d1-b73f-7bc1cbdbc218
